date,freq(Hz)
20070101_2,28.7682167138779
20070101,20.7110736532356
20070102,22.4105797661834
20070105_2,28.3925584497421
20070105_2,12.0825242186133
20070105,23.3119354236566
20070106_2,17.2299822140521
20070106_2,8.3622299592791
20070106,24.895473862992
20070107,28.021805568961
20070107,13.599827273806099
20070107,6.6877354160637
20070108_2,28.021805568961
20070110_2,24.2495436917152
20070110,23.0075258287903
20070111_2,25.5586095450805
20070111,18.8905116574214
20070112,21.544075012613998
20070113,7.7280803262957
20070114,23.620372622452802
20070116,2.3676333286453
20070117,26.2394090376784
20070117,8.584972980695099
20070118_2,20.7110736532356
20070118,22.707091244997198
20070120_2,29.5345098608979
20070120_2,18.8905116574214
20070120,20.440626372671
20070121,29.9252771362769
20070122,25.896772198242697
20070122,4.3341251667192005
20070123_2,17.0049913752387
20070123_2,7.9339316327065
20070123_2,4.6897741465088
20070123,26.9383428481196
20070123,6.0202118996265
20070124,20.7110736532356
20070124,6.776219977321
20070125_2,27.655894016546
20070125_2,13.422239362916901
20070125,23.0075258287903
20070125,8.584972980695099
20070126_2,27.2947605739449
20070126,28.3925584497421
20070127_2,29.148845263860302
20070127_2,4.3341251667192005
20070127_2,2.8836373492567997
20070127,28.021805568961
20070128_2,23.0075258287903
20070128,19.3936943805896
20070129_2,23.0075258287903
20070129_2,9.048416545818
20070129,27.655894016546
20070130_2,20.1737106198672
20070130_2,2.5619162220684
20070130,29.9252771362769
20070130,5.3485499936107
20070131_2,19.9102802797801
20070201,27.2947605739449
20070202,24.2495436917152
20070203_2,28.021805568961
20070204,18.4003843556662
20070204,6.956716772898099
20070205,14.9105026611825
20070205,2.6301574642606997
20070207_2,28.7682167138779
20070207_2,15.9233466693997
20070207_2,4.7518239409359
20070207,20.1737106198672
20070208_2,26.2394090376784
20070208_2,8.3622299592791
20070208_2,2.52846246265
20070208,28.3925584497421
20070208,6.956716772898099
20070209_2,29.148845263860302
20070209,29.5345098608979
20070210_2,25.5586095450805
20070210,27.2947605739449
20070211_2,26.586579260766698
20070211,4.6897741465088
20070212_2,25.5586095450805
20070213_2,22.1179401640499
20070213,25.896772198242697
20070214,26.586579260766698
20070215_2,12.568484496063899
20070215_2,7.0487601916557
20070215,14.333988284097101
20070215,6.514217526566
20070216_2,27.655894016546
20070216,28.3925584497421
20070218_2,29.148845263860302
20070218_2,2.4954455457830997
20070218,23.3119354236566
20070219_2,23.0075258287903
20070219,22.1179401640499
20070219,7.9339316327065
20070220,29.5345098608979
20070221_2,26.9383428481196
20070221_2,3.2887039000427003
20070222_2,18.643837458306297
20070222,14.9105026611825
20070222,7.2365165855808
20070223,29.9252771362769
20070224_2,29.9252771362769
20070224_2,18.4003843556662
20070225,19.1404495709217
20070225,9.048416545818
20070226_2,25.896772198242697
20070226,26.2394090376784
20070226,2.52846246265
20070227,23.3119354236566
20070228_2,27.655894016546
20070228_2,3.5585678614856002
20070228,4.3341251667192005
20070301_2,20.9850991867477
20070301,3.8505762785861
20070302,9.168134973405099
20070302,4.3914694155497
20070303_2,8.6985596464861
20070303,27.2947605739449
20070304_2,24.895473862992
20070304,20.9850991867477
20070304,2.4006770405385
20070305,7.2365165855808
20070306,2.4628597671338
20070307,29.5345098608979
20070309,18.643837458306297
20070310,28.021805568961
20070311,2.3989591786182998
20070312,26.586579260766698
20070313,11.166246104275599
20070315,23.932890713885
20070315,11.0204361407953
20070316,27.2947605739449
20070317,25.224862653817798
20070318_2,24.2495436917152
20070318,20.440626372671
20070318,2.8836373492567997
20070319,8.3622299592791
20070319,14.9105026611825
20070322_2,12.0825242186133
20070322_2,3.2033762181868
20070323,3.4209758848367002
20070325,22.4105797661834
20070325,8.0389044547292
20070326_2,16.782938489402902
20070328_2,31.1288746393159
20070328,27.2947605739449
20070329_2,25.896772198242697
20070331_2,16.782938489402902
20070331_2,7.4292742084456
20070331_2,5.3485499936107
20070331,7.4292742084456
20070401,29.148845263860302
20070401,6.776219977321
20070402_2,20.440626372671
20070402_2,11.166246104275599
