date,freq(Hz),parsed_date,solar_cycle
20070102,52.3578116675942,2007-01-02,solar_minimum
20070105_2,105.081770883604,2007-01-05,solar_minimum
20070105_2,42.988796753890895,2007-01-05,solar_minimum
20070105_2,24.751523606614498,2007-01-05,solar_minimum
20070105_2,12.828659568137699,2007-01-05,solar_minimum
20070106_2,33.0511843602867,2007-01-06,solar_minimum
20070106_2,14.4396610446981,2007-01-06,solar_minimum
20070107,25.410824914954,2007-01-07,solar_minimum
20070109,92.1389484903374,2007-01-09,solar_minimum
20070109,14.8242873638716,2007-01-09,solar_minimum
20070110_2,88.5763973341981,2007-01-10,solar_minimum
20070110_2,44.7178102629725,2007-01-10,solar_minimum
20070110_2,27.8597782816713,2007-01-10,solar_minimum
20070110_2,15.219158896207801,2007-01-10,solar_minimum
20070110_2,11.3973940112395,2007-01-10,solar_minimum
20070112,77.6665261996338,2007-01-12,solar_minimum
20070113,52.3578116675942,2007-01-13,solar_minimum
20070113,28.6018735386374,2007-01-13,solar_minimum
20070113,10.956713931023701,2007-01-13,solar_minimum
20070115,56.6541809664279,2007-01-15,solar_minimum
20070116,21.7029018398763,2007-01-16,solar_minimum
20070116,8.8786249824198,2007-01-16,solar_minimum
20070117,89.7483401770689,2007-01-17,solar_minimum
20070117,32.6195986743228,2007-01-17,solar_minimum
20070117,21.4195031672034,2007-01-17,solar_minimum
20070118,90.9357888439323,2007-01-18,solar_minimum
20070120_2,69.9143904686489,2007-01-20,solar_minimum
20070120_2,40.254387579950205,2007-01-20,solar_minimum
20070120_2,20.863759443440802,2007-01-20,solar_minimum
20070122,102.35535215229339,2007-01-22,solar_minimum
20070122,69.0014413337484,2007-01-22,solar_minimum
20070122,50.9993522767729,2007-01-22,solar_minimum
20070122,24.1093283236258,2007-01-22,solar_minimum
20070122,16.4680103083116,2007-01-22,solar_minimum
20070123_2,116.7332798974349,2007-01-23,solar_minimum
20070123_2,66.3335015685729,2007-01-23,solar_minimum
20070123_2,30.948881701252798,2007-01-23,solar_minimum
20070123_2,17.8193397785098,2007-01-23,solar_minimum
20070123,90.9357888439323,2007-01-23,solar_minimum
20070123,40.786988169252496,2007-01-23,solar_minimum
20070123,23.7945062921593,2007-01-23,solar_minimum
20070124,76.6523488975163,2007-01-24,solar_minimum
20070124,25.079007810239098,2007-01-24,solar_minimum
20070124,16.4680103083116,2007-01-24,solar_minimum
20070125_2,106.472094186533,2007-01-25,solar_minimum
20070125_2,49.0274630334848,2007-01-25,solar_minimum
20070125,81.8592070471573,2007-01-25,solar_minimum
20070125,52.3578116675942,2007-01-25,solar_minimum
20070125,31.3583623472966,2007-01-25,solar_minimum
20070125,13.344629480571,2007-01-25,solar_minimum
20070126_2,97.11289574341039,2007-01-26,solar_minimum
20070126,106.472094186533,2007-01-26,solar_minimum
20070126,34.8353901750177,2007-01-26,solar_minimum
20070126,22.5757946235996,2007-01-26,solar_minimum
20070126,12.4958111830175,2007-01-26,solar_minimum
20070127_2,107.8808126770422,2007-01-27,solar_minimum
20070127_2,48.3872574955011,2007-01-27,solar_minimum
20070127_2,16.2529693751972,2007-01-27,solar_minimum
20070127_2,10.813640059713,2007-01-27,solar_minimum
20070128_2,24.751523606614498,2007-01-28,solar_minimum
20070128,70.8394187153303,2007-01-28,solar_minimum
20070129_2,88.5763973341981,2007-01-29,solar_minimum
20070129_2,33.4884803005732,2007-01-29,solar_minimum
20070129_2,13.700087666324599,2007-01-29,solar_minimum
20070129_2,8.762687005381501,2007-01-29,solar_minimum
20070129,101.0187856804485,2007-01-29,solar_minimum
20070129,48.3872574955011,2007-01-29,solar_minimum
20070129,18.0551051555923,2007-01-29,solar_minimum
20070130,116.7332798974349,2007-01-30,solar_minimum
20070130,33.0511843602867,2007-01-30,solar_minimum
20070130,19.0297759344977,2007-01-30,solar_minimum
20070131,33.0511843602867,2007-01-31,solar_minimum
20070201,106.472094186533,2007-02-01,solar_minimum
20070205,53.7524560653642,2007-02-05,solar_minimum
20070205,33.4884803005732,2007-02-05,solar_minimum
20070205,22.5757946235996,2007-02-05,solar_minimum
20070205,15.6245485413694,2007-02-05,solar_minimum
20070205,9.993587764036501,2007-02-05,solar_minimum
20070207_2,116.7332798974349,2007-02-07,solar_minimum
20070207_2,59.712550010249,2007-02-07,solar_minimum
20070207_2,16.9066653549494,2007-02-07,solar_minimum
20070207,116.7332798974349,2007-02-07,solar_minimum
20070207,77.6665261996338,2007-02-07,solar_minimum
20070207,28.6018735386374,2007-02-07,solar_minimum
20070207,17.1303552549212,2007-02-07,solar_minimum
20070207,10.6724344613882,2007-02-07,solar_minimum
20070208_2,99.6996722278751,2007-02-08,solar_minimum
20070208_2,30.948881701252798,2007-02-08,solar_minimum
20070208_2,12.828659568137699,2007-02-08,solar_minimum
20070208_2,9.235724126751801,2007-02-08,solar_minimum
20070208,60.5025990269192,2007-02-08,solar_minimum
20070215_2,25.410824914954,2007-02-15,solar_minimum
20070215,81.8592070471573,2007-02-15,solar_minimum
20070215,54.4636478508559,2007-02-15,solar_minimum
20070215,25.079007810239098,2007-02-15,solar_minimum
20070215,14.8242873638716,2007-02-15,solar_minimum
20070216_2,30.1458917052346,2007-02-16,solar_minimum
20070216_2,8.9960969198189,2007-02-16,solar_minimum
20070218_2,105.081770883604,2007-02-18,solar_minimum
20070218_2,55.9143849794346,2007-02-18,solar_minimum
20070218_2,33.9315620468176,2007-02-18,solar_minimum
20070218_2,14.8242873638716,2007-02-18,solar_minimum
20070218_2,9.1151231132097,2007-02-18,solar_minimum
20070219,82.9422756151872,2007-02-19,solar_minimum
20070219,28.980301223609,2007-02-19,solar_minimum
20070219,20.3224348723583,2007-02-19,solar_minimum
20070219,7.8880561655876,2007-02-19,solar_minimum
20070221_2,109.3081697394764,2007-02-21,solar_minimum
20070221_2,33.0511843602867,2007-02-21,solar_minimum
20070221_2,18.2939899138484,2007-02-21,solar_minimum
20070221_2,12.3326396251601,2007-02-21,solar_minimum
20070222_2,72.7263539272112,2007-02-22,solar_minimum
20070222_2,40.254387579950205,2007-02-22,solar_minimum
20070222_2,18.2939899138484,2007-02-22,solar_minimum
20070222_2,11.3973940112395,2007-02-22,solar_minimum
20070222,56.6541809664279,2007-02-22,solar_minimum
20070222,28.980301223609,2007-02-22,solar_minimum
20070223,121.4283035580775,2007-02-23,solar_minimum
20070223,82.9422756151872,2007-02-23,solar_minimum
20070223,33.9315620468176,2007-02-23,solar_minimum
20070223,25.747032248812502,2007-02-23,solar_minimum
20070223,12.9983939016281,2007-02-23,solar_minimum
20070224_2,113.704554760777,2007-02-24,solar_minimum
20070224_2,68.10041358037371,2007-02-24,solar_minimum
20070225,109.3081697394764,2007-02-25,solar_minimum
20070225,67.2111515379269,2007-02-25,solar_minimum
20070225,33.4884803005732,2007-02-25,solar_minimum
20070226_2,101.0187856804485,2007-02-26,solar_minimum
20070226_2,45.3094658198001,2007-02-26,solar_minimum
20070226_2,24.4283157246226,2007-02-26,solar_minimum
20070226,103.70960256204769,2007-02-26,solar_minimum
20070226,23.1771414808154,2007-02-26,solar_minimum
20070227,88.5763973341981,2007-02-27,solar_minimum
20070227,31.773260778742298,2007-02-27,solar_minimum
20070227,19.5366682119359,2007-02-27,solar_minimum
20070228_2,103.70960256204769,2007-02-28,solar_minimum
20070228_2,62.9360193352609,2007-02-28,solar_minimum
20070228_2,44.133880603848496,2007-02-28,solar_minimum
20070228_2,14.065014119593899,2007-02-28,solar_minimum
20070228,15.420521616748701,2007-02-28,solar_minimum
20070301,14.6307103301072,2007-03-01,solar_minimum
20070302,16.2529693751972,2007-03-02,solar_minimum
20070304_2,44.7178102629725,2007-03-04,solar_minimum
20070304_2,17.5866530494081,2007-03-04,solar_minimum
20070304,113.704554760777,2007-03-04,solar_minimum
20070304,75.6514148245023,2007-03-04,solar_minimum
